block_id,date,start,end,duration_min,type
BLK-0001,2026-09-15,2026-09-15T00:00:00,2026-09-15T06:10:00,370,candidate
BLK-0002,2026-09-15,2026-09-15T06:55:00,2026-09-15T10:30:00,215,candidate
BLK-0003,2026-09-15,2026-09-15T11:15:00,2026-09-15T13:30:00,135,candidate
BLK-0004,2026-09-15,2026-09-15T15:15:00,2026-09-15T18:15:00,180,candidate
BLK-0005,2026-09-15,2026-09-15T19:00:00,2026-09-15T22:00:00,180,candidate
BLK-0006,2026-09-16,2026-09-16T00:00:00,2026-09-16T06:10:00,370,candidate
BLK-0007,2026-09-16,2026-09-16T06:55:00,2026-09-16T10:30:00,215,candidate
BLK-0008,2026-09-16,2026-09-16T11:15:00,2026-09-16T13:30:00,135,candidate
BLK-0009,2026-09-16,2026-09-16T15:15:00,2026-09-16T18:15:00,180,candidate
BLK-0010,2026-09-16,2026-09-16T19:00:00,2026-09-16T22:00:00,180,candidate
BLK-0011,2026-09-17,2026-09-17T00:00:00,2026-09-17T02:00:00,120,candidate
BLK-0012,2026-09-17,2026-09-17T02:30:00,2026-09-17T06:10:00,220,candidate
BLK-0013,2026-09-17,2026-09-17T06:55:00,2026-09-17T10:30:00,215,candidate
BLK-0014,2026-09-17,2026-09-17T11:15:00,2026-09-17T13:30:00,135,candidate
BLK-0015,2026-09-17,2026-09-17T15:15:00,2026-09-17T18:15:00,180,candidate
BLK-0016,2026-09-17,2026-09-17T19:00:00,2026-09-17T22:00:00,180,candidate
BLK-0017,2026-09-18,2026-09-18T00:00:00,2026-09-18T02:00:00,120,candidate
BLK-0018,2026-09-18,2026-09-18T02:30:00,2026-09-18T06:10:00,220,candidate
BLK-0019,2026-09-18,2026-09-18T06:55:00,2026-09-18T10:30:00,215,candidate
BLK-0020,2026-09-18,2026-09-18T11:15:00,2026-09-18T13:30:00,135,candidate
BLK-0021,2026-09-18,2026-09-18T15:15:00,2026-09-18T18:15:00,180,candidate
BLK-0022,2026-09-18,2026-09-18T19:00:00,2026-09-18T22:00:00,180,candidate
BLK-0023,2026-09-19,2026-09-19T00:00:00,2026-09-19T06:10:00,370,candidate
BLK-0024,2026-09-19,2026-09-19T06:55:00,2026-09-19T10:30:00,215,candidate
BLK-0025,2026-09-19,2026-09-19T11:15:00,2026-09-19T13:30:00,135,candidate
BLK-0026,2026-09-19,2026-09-19T15:15:00,2026-09-19T18:15:00,180,candidate
BLK-0027,2026-09-19,2026-09-19T19:00:00,2026-09-19T22:00:00,180,candidate
BLK-0028,2026-09-20,2026-09-20T00:00:00,2026-09-20T02:00:00,120,candidate
BLK-0029,2026-09-20,2026-09-20T02:30:00,2026-09-20T06:10:00,220,candidate
BLK-0030,2026-09-20,2026-09-20T06:55:00,2026-09-20T10:30:00,215,candidate
BLK-0031,2026-09-20,2026-09-20T11:15:00,2026-09-20T13:30:00,135,candidate
BLK-0032,2026-09-20,2026-09-20T15:15:00,2026-09-20T18:15:00,180,candidate
BLK-0033,2026-09-20,2026-09-20T19:00:00,2026-09-20T22:00:00,180,candidate
BLK-0034,2026-09-21,2026-09-21T00:00:00,2026-09-21T02:00:00,120,candidate
BLK-0035,2026-09-21,2026-09-21T02:30:00,2026-09-21T06:10:00,220,candidate
BLK-0036,2026-09-21,2026-09-21T06:55:00,2026-09-21T10:30:00,215,candidate
BLK-0037,2026-09-21,2026-09-21T11:15:00,2026-09-21T13:30:00,135,candidate
BLK-0038,2026-09-21,2026-09-21T15:15:00,2026-09-21T18:15:00,180,candidate
BLK-0039,2026-09-21,2026-09-21T19:00:00,2026-09-21T22:00:00,180,candidate
