segment_id,event_date,grade,days_to_repair
SEG-001,2024-05-07,2,5
SEG-001,2024-11-03,1,8
SEG-002,2024-07-15,1,5
SEG-002,2025-01-23,2,9
SEG-002,2024-06-27,2,10
SEG-003,2024-01-01,1,9
SEG-004,2025-03-28,1,10
SEG-004,2024-08-06,1,10
SEG-004,2024-06-22,2,12
SEG-005,2024-08-28,2,11
SEG-005,2024-08-18,2,10
SEG-005,2024-05-30,1,4
SEG-006,2025-02-28,2,6
SEG-006,2025-08-12,1,2
SEG-006,2025-12-14,1,2
SEG-007,2024-04-19,2,10
SEG-007,2024-08-12,1,2
SEG-007,2025-12-13,1,10
SEG-007,2024-02-21,1,9
SEG-008,2024-05-16,2,14
SEG-009,2025-07-15,1,10
SEG-009,2024-06-11,2,5
SEG-009,2025-05-01,1,13
SEG-009,2024-09-10,2,6
SEG-009,2024-10-10,2,11
SEG-009,2025-06-17,1,1
SEG-009,2024-09-01,1,5
SEG-011,2024-11-23,2,13
SEG-012,2025-01-27,2,10
SEG-013,2025-07-09,1,6
SEG-013,2024-03-04,1,4
SEG-014,2024-01-07,3,1
SEG-014,2024-11-01,2,9
SEG-014,2025-03-05,1,1
SEG-014,2025-07-13,2,7
SEG-014,2024-08-13,1,1
SEG-014,2024-10-06,1,5
SEG-016,2024-06-18,2,6
SEG-016,2024-05-10,3,7
SEG-017,2025-03-14,1,12
SEG-017,2025-04-17,1,2
SEG-017,2024-09-23,1,1
SEG-017,2024-08-04,1,10
SEG-018,2024-12-24,1,5
SEG-018,2024-03-11,2,7
SEG-018,2025-10-29,1,4
SEG-018,2024-02-01,3,14
SEG-018,2024-07-23,2,12
SEG-018,2025-09-28,1,10
SEG-018,2024-05-09,1,1
SEG-018,2024-04-27,1,5
SEG-019,2024-06-20,2,13
SEG-019,2024-04-27,2,11
SEG-020,2025-08-15,1,1
SEG-021,2024-03-18,1,9
SEG-021,2025-10-04,1,14
SEG-021,2025-12-14,2,8
SEG-021,2025-12-01,2,4
SEG-022,2025-03-14,2,10
SEG-022,2024-03-11,1,2
SEG-022,2024-12-15,1,8
SEG-023,2025-04-15,2,7
SEG-023,2025-03-21,1,10
SEG-023,2025-06-18,3,6
SEG-024,2025-05-10,1,6
SEG-024,2025-08-29,1,6
SEG-025,2024-09-06,2,13
SEG-025,2025-08-06,2,10
SEG-025,2025-01-23,1,12
SEG-026,2024-12-29,2,13
SEG-026,2024-12-14,1,5
SEG-027,2025-06-13,3,10
SEG-027,2024-03-28,1,14
SEG-028,2025-05-02,2,8
SEG-028,2025-05-17,1,4
SEG-030,2025-11-10,1,1
SEG-030,2025-04-29,1,5
SEG-031,2024-08-24,1,13
SEG-031,2024-07-16,1,8
SEG-031,2025-07-02,3,8
SEG-031,2025-12-07,1,6
SEG-031,2024-08-09,2,7
SEG-032,2025-06-21,1,11
SEG-033,2024-11-05,1,2
SEG-033,2025-06-30,1,4
SEG-033,2024-02-16,3,2
SEG-034,2025-05-17,1,12
SEG-034,2024-01-13,1,3
SEG-035,2024-02-22,1,14
SEG-035,2025-05-04,1,11
SEG-037,2025-07-30,3,9
SEG-037,2024-03-28,3,14
SEG-037,2024-05-01,1,10
SEG-038,2025-03-29,1,6
SEG-038,2025-08-25,3,1
SEG-038,2024-11-08,1,5
