task_id,segment_id,division,department,type,planned_duration_hrs,actual_duration_hrs,planned_date,completion_date,overdue_flag,overdue_days,overrun_flag
TASK-00001,SEG-001,Delhi,Electrical,Weld Repair,2.17,1.92,2024-06-15,2024-06-15,0,0,0
TASK-00002,SEG-001,Delhi,Engineering,Weld Repair,6.6,6.35,2024-07-07,2024-07-07,0,0,0
TASK-00003,SEG-001,Delhi,Electrical,Weld Repair,6.33,6.42,2025-11-19,2025-11-19,0,0,0
TASK-00004,SEG-001,Delhi,Signalling,Sleeper Replacement,3.46,3.01,2025-01-22,2025-01-22,0,0,0
TASK-00005,SEG-002,Delhi,Signalling,Tamping,5.54,4.81,2024-09-26,2024-09-26,0,0,0
TASK-00006,SEG-002,Delhi,Engineering,OHE Maintenance,5.58,5.16,2025-11-20,2025-11-20,0,0,0
TASK-00007,SEG-002,Delhi,Electrical,Ballast Cleaning,6.38,5.71,2024-09-03,2024-09-03,0,0,0
TASK-00008,SEG-002,Delhi,Signalling,Catenary Repair,7.18,6.98,2025-05-27,2025-05-27,0,0,0
TASK-00009,SEG-003,Delhi,Electrical,Catenary Repair,4.6,4.78,2024-03-09,2024-03-09,0,0,0
TASK-00010,SEG-003,Delhi,Electrical,Signal Testing,2.86,2.7,2024-12-13,2024-12-13,0,0,0
TASK-00011,SEG-003,Delhi,Engineering,OHE Maintenance,7.95,6.83,2024-05-12,2024-05-12,0,0,0
TASK-00012,SEG-003,Delhi,Engineering,Tamping,6.0,5.65,2025-05-23,2025-05-23,0,0,0
TASK-00013,SEG-004,Delhi,Engineering,Rail Grinding,7.36,6.57,2024-10-21,2024-10-21,0,0,0
TASK-00014,SEG-004,Delhi,Electrical,Sleeper Replacement,5.66,8.76,2025-07-09,,1,5,1
TASK-00015,SEG-005,Delhi,Signalling,Cable Replacement,6.51,5.67,2025-09-11,2025-09-11,0,0,0
TASK-00016,SEG-005,Delhi,Electrical,Cable Replacement,2.37,2.19,2024-10-02,2024-10-02,0,0,0
TASK-00017,SEG-005,Delhi,Signalling,Signal Testing,3.25,3.41,2025-06-16,2025-06-16,0,0,0
TASK-00018,SEG-005,Delhi,Electrical,Sleeper Replacement,3.01,3.97,2024-10-06,,1,37,1
TASK-00019,SEG-006,Jaipur,Electrical,Sleeper Replacement,5.27,4.91,2024-07-10,2024-07-10,0,0,0
TASK-00020,SEG-006,Jaipur,Electrical,Signal Testing,7.0,6.19,2024-02-06,2024-02-06,0,0,0
TASK-00021,SEG-007,Jaipur,Electrical,Cable Replacement,5.44,5.53,2024-02-19,2024-02-19,0,0,0
TASK-00022,SEG-008,Jaipur,Signalling,Axle Counter Calibration,7.97,6.82,2025-08-16,2025-08-16,0,0,0
TASK-00023,SEG-008,Jaipur,Engineering,Signal Testing,4.54,4.05,2025-11-17,2025-11-17,0,0,0
TASK-00024,SEG-009,Jaipur,Engineering,Catenary Repair,3.58,3.19,2025-07-08,2025-07-08,0,0,0
TASK-00025,SEG-009,Jaipur,Signalling,Cable Replacement,5.53,5.77,2025-01-03,2025-01-03,0,0,0
TASK-00026,SEG-010,Kota,Electrical,Weld Repair,6.16,6.28,2024-03-04,2024-03-04,0,0,0
TASK-00027,SEG-010,Kota,Signalling,Sleeper Replacement,7.03,9.49,2025-09-05,2025-09-05,0,0,1
TASK-00028,SEG-010,Kota,Electrical,Tamping,4.61,6.5,2024-01-30,,1,32,1
TASK-00029,SEG-011,Kota,Engineering,Weld Repair,6.27,5.43,2024-06-22,2024-06-22,0,0,0
TASK-00030,SEG-011,Kota,Engineering,Axle Counter Calibration,6.58,6.9,2025-09-30,2025-09-30,0,0,0
TASK-00031,SEG-012,Kota,Engineering,Catenary Repair,7.71,7.64,2024-12-08,2024-12-08,0,0,0
TASK-00032,SEG-012,Kota,Signalling,Ballast Cleaning,5.37,5.27,2024-07-18,2024-07-18,0,0,0
TASK-00033,SEG-012,Kota,Engineering,Sleeper Replacement,4.15,4.1,2025-05-03,2025-05-03,0,0,0
TASK-00034,SEG-012,Kota,Electrical,OHE Maintenance,3.46,3.27,2024-03-28,2024-03-28,0,0,0
TASK-00035,SEG-013,Kota,Engineering,Tamping,5.37,8.13,2024-04-25,2024-04-25,0,0,1
TASK-00036,SEG-013,Kota,Engineering,Weld Repair,3.4,3.11,2024-08-24,2024-08-24,0,0,0
TASK-00037,SEG-013,Kota,Engineering,Cable Replacement,2.56,2.32,2024-07-25,2024-07-25,0,0,0
TASK-00038,SEG-014,Ratlam,Electrical,OHE Maintenance,7.27,6.39,2025-04-21,2025-04-21,0,0,0
TASK-00039,SEG-014,Ratlam,Signalling,Catenary Repair,4.5,4.28,2025-09-08,2025-09-08,0,0,0
TASK-00040,SEG-015,Ratlam,Electrical,Tamping,4.49,4.13,2024-04-10,2024-04-10,0,0,0
TASK-00041,SEG-016,Ratlam,Signalling,Rail Grinding,6.01,5.86,2024-05-24,2024-05-24,0,0,0
TASK-00042,SEG-016,Ratlam,Engineering,Tamping,3.12,2.74,2025-10-09,2025-10-09,0,0,0
TASK-00043,SEG-017,Ratlam,Engineering,Ballast Cleaning,5.24,5.32,2024-05-07,2024-05-07,0,0,0
TASK-00044,SEG-017,Ratlam,Electrical,Sleeper Replacement,3.43,3.1,2024-04-07,2024-04-07,0,0,0
TASK-00045,SEG-017,Ratlam,Engineering,Cable Replacement,7.92,8.06,2024-08-17,2024-08-17,0,0,0
TASK-00046,SEG-019,Vadodara,Engineering,Rail Grinding,2.55,2.17,2024-03-24,2024-03-24,0,0,0
TASK-00047,SEG-019,Vadodara,Signalling,Cable Replacement,2.26,2.81,2024-06-17,,1,5,1
TASK-00048,SEG-019,Vadodara,Electrical,Ballast Cleaning,4.6,4.5,2025-01-21,2025-01-21,0,0,0
TASK-00049,SEG-020,Vadodara,Engineering,Signal Testing,2.77,2.49,2025-08-11,2025-08-11,0,0,0
TASK-00050,SEG-020,Vadodara,Engineering,Axle Counter Calibration,7.12,9.32,2025-10-10,2025-10-10,0,0,1
TASK-00051,SEG-020,Vadodara,Electrical,Tamping,3.96,4.02,2025-08-16,2025-08-16,0,0,0
TASK-00052,SEG-021,Vadodara,Signalling,Rail Grinding,4.11,3.61,2024-05-24,2024-05-24,0,0,0
TASK-00053,SEG-022,Mumbai,Engineering,Catenary Repair,7.02,6.77,2025-04-03,2025-04-03,0,0,0
TASK-00054,SEG-022,Mumbai,Engineering,Sleeper Replacement,6.88,7.05,2024-09-26,2024-09-26,0,0,0
TASK-00055,SEG-022,Mumbai,Signalling,OHE Maintenance,4.52,4.28,2024-11-08,2024-11-08,0,0,0
TASK-00056,SEG-022,Mumbai,Engineering,OHE Maintenance,6.44,8.07,2024-10-26,2024-10-26,0,0,1
TASK-00057,SEG-023,Mumbai,Electrical,OHE Maintenance,3.79,3.23,2025-02-07,2025-02-07,0,0,0
TASK-00058,SEG-023,Mumbai,Electrical,Cable Replacement,7.37,7.71,2024-08-22,2024-08-22,0,0,0
TASK-00059,SEG-023,Mumbai,Electrical,Ballast Cleaning,2.93,2.84,2024-10-27,2024-10-27,0,0,0
