segment_id,month,division,asset_type,age_years,freight_density_class,monsoon_exposure,grade3_defects_previous_90d,defect_count_month,failure_event,right_censored,monsoon_month
SEG-001,2024-01-01,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2024-01-31,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2024-03-01,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2024-03-31,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2024-04-30,Delhi,Track,33.1,Low,Low,0,1,0,1,0
SEG-001,2024-05-30,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2024-06-29,Delhi,Track,33.1,Low,Low,0,0,0,1,1
SEG-001,2024-07-29,Delhi,Track,33.1,Low,Low,0,0,0,1,1
SEG-001,2024-08-28,Delhi,Track,33.1,Low,Low,0,0,0,1,1
SEG-001,2024-09-27,Delhi,Track,33.1,Low,Low,0,0,0,1,1
SEG-001,2024-10-27,Delhi,Track,33.1,Low,Low,0,1,0,1,0
SEG-001,2024-11-26,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2024-12-26,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2025-01-25,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2025-02-24,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2025-03-26,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2025-04-25,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2025-05-25,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2025-06-24,Delhi,Track,33.1,Low,Low,0,0,0,1,1
SEG-001,2025-07-24,Delhi,Track,33.1,Low,Low,0,0,0,1,1
SEG-001,2025-08-23,Delhi,Track,33.1,Low,Low,0,0,0,1,1
SEG-001,2025-09-22,Delhi,Track,33.1,Low,Low,0,0,0,1,1
SEG-001,2025-10-22,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-001,2025-11-21,Delhi,Track,33.1,Low,Low,0,0,0,1,0
SEG-002,2024-01-01,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2024-01-31,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2024-03-01,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2024-03-31,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2024-04-30,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2024-05-30,Delhi,Traction/OHE,7.8,Medium,High,0,1,0,1,0
SEG-002,2024-06-29,Delhi,Traction/OHE,7.8,Medium,High,0,1,0,1,1
SEG-002,2024-07-29,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,1
SEG-002,2024-08-28,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,1
SEG-002,2024-09-27,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,1
SEG-002,2024-10-27,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2024-11-26,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2024-12-26,Delhi,Traction/OHE,7.8,Medium,High,0,1,0,1,0
SEG-002,2025-01-25,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2025-02-24,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2025-03-26,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2025-04-25,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2025-05-25,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2025-06-24,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,1
SEG-002,2025-07-24,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,1
SEG-002,2025-08-23,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,1
SEG-002,2025-09-22,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,1
SEG-002,2025-10-22,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-002,2025-11-21,Delhi,Traction/OHE,7.8,Medium,High,0,0,0,1,0
SEG-003,2024-01-01,Delhi,Track,7.4,Low,High,0,1,0,1,0
SEG-003,2024-01-31,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2024-03-01,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2024-03-31,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2024-04-30,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2024-05-30,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2024-06-29,Delhi,Track,7.4,Low,High,0,0,0,1,1
SEG-003,2024-07-29,Delhi,Track,7.4,Low,High,0,0,0,1,1
SEG-003,2024-08-28,Delhi,Track,7.4,Low,High,0,0,0,1,1
SEG-003,2024-09-27,Delhi,Track,7.4,Low,High,0,0,0,1,1
SEG-003,2024-10-27,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2024-11-26,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2024-12-26,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2025-01-25,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2025-02-24,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2025-03-26,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2025-04-25,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2025-05-25,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2025-06-24,Delhi,Track,7.4,Low,High,0,0,0,1,1
SEG-003,2025-07-24,Delhi,Track,7.4,Low,High,0,0,0,1,1
SEG-003,2025-08-23,Delhi,Track,7.4,Low,High,0,0,0,1,1
SEG-003,2025-09-22,Delhi,Track,7.4,Low,High,0,0,0,1,1
SEG-003,2025-10-22,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-003,2025-11-21,Delhi,Track,7.4,Low,High,0,0,0,1,0
SEG-004,2024-01-01,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2024-01-31,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2024-03-01,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
SEG-004,2024-03-31,Delhi,S&T,36.0,High,Medium,0,0,0,1,0
