segment_id,observation_start,observation_end,observed_end,duration_days,failure_event,right_censored
SEG-001,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-002,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-003,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-004,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-005,2024-01-01,2025-12-31,2025-12-03,702,1,0
SEG-006,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-007,2024-01-01,2025-12-31,2024-06-11,162,1,0
SEG-008,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-009,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-010,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-011,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-012,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-013,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-014,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-015,2024-01-01,2025-12-31,2024-05-01,121,1,0
SEG-016,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-017,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-018,2024-01-01,2025-12-31,2024-02-11,41,1,0
SEG-019,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-020,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-021,2024-01-01,2025-12-31,2024-08-15,227,1,0
SEG-022,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-023,2024-01-01,2025-12-31,2025-05-12,497,1,0
SEG-024,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-025,2024-01-01,2025-12-31,2024-11-01,305,1,0
SEG-026,2024-01-01,2025-12-31,2025-08-22,599,1,0
SEG-027,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-028,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-029,2024-01-01,2025-12-31,2024-06-28,179,1,0
SEG-030,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-031,2024-01-01,2025-12-31,2024-11-08,312,1,0
SEG-032,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-033,2024-01-01,2025-12-31,2024-06-29,180,1,0
SEG-034,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-035,2024-01-01,2025-12-31,2024-12-15,349,1,0
SEG-036,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-037,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-038,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-039,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-040,2024-01-01,2025-12-31,2025-03-12,436,1,0
SEG-041,2024-01-01,2025-12-31,2024-08-24,236,1,0
SEG-042,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-043,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-044,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-045,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-046,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-047,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-048,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-049,2024-01-01,2025-12-31,2024-08-25,237,1,0
SEG-050,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-051,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-052,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-053,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-054,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-055,2024-01-01,2025-12-31,2024-03-29,88,1,0
SEG-056,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-057,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-058,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-059,2024-01-01,2025-12-31,2025-06-27,543,1,0
SEG-060,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-061,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-062,2024-01-01,2025-12-31,2025-03-16,440,1,0
SEG-063,2024-01-01,2025-12-31,2024-12-09,343,1,0
SEG-064,2024-01-01,2025-12-31,2025-03-27,451,1,0
SEG-065,2024-01-01,2025-12-31,2025-01-21,386,1,0
SEG-066,2024-01-01,2025-12-31,2025-10-25,663,1,0
SEG-067,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-068,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-069,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-070,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-071,2024-01-01,2025-12-31,2025-01-14,379,1,0
SEG-072,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-073,2024-01-01,2025-12-31,2025-12-31,730,0,1
SEG-074,2024-01-01,2025-12-31,2024-01-24,23,1,0
SEG-075,2024-01-01,2025-12-31,2025-06-11,527,1,0
