feature,aft_coefficient,approx_hazard_ratio,importance
monsoon_month,8.690573174316125,2.1107354148214186e-05,2.1107354148214186e-05
Intercept,5.795802883862746,0.0007617856998948743,0.0007617856998948743
division_Kota,1.0169362922176501,0.2837160125332184,0.2837160125332184
asset_type_S&T,0.7666224120383722,0.3868599797618045,0.3868599797618045
division_Ratlam,0.5241742949474432,0.5223865027754013,0.5223865027754013
division_Howrah,0.494404940874151,0.5420108612534185,0.5420108612534185
division_Mughal Sarai,0.4544133240606481,0.5695392425493336,0.5695392425493336
division_Dhanbad,0.3597221381728033,0.6404244789094691,0.6404244789094691
division_Chennai,0.26698568328453404,0.7183904329418872,0.7183904329418872
division_Renigunta,0.1800828533806822,0.8000454154169375,0.8000454154169375
overdue_tasks_active,0.12252308996799105,0.8591758162650476,0.8591758162650476
division_Delhi,0.013590142611881755,0.9833054451316746,0.9833054451316746
age_years,-0.004501450923032268,1.005591978090503,1.005591978090503
division_Pune,-0.12647131490569904,1.1696128149619545,1.1696128149619545
asset_type_Track,-0.1949731825211859,1.2731993875245877,1.2731993875245877
division_Guntakal,-0.24433832559637558,1.3534900981820284,1.3534900981820284
division_Mumbai,-0.3863977520764464,1.613926203639151,1.613926203639151
asset_type_Traction/OHE,-0.39728087453622957,1.6358325293361549,1.6358325293361549
division_Jaipur,-0.4038627239981338,1.6492249782592598,1.6492249782592598
grade3_defects_previous_90d,-0.533040837878283,1.9354336672706338,1.9354336672706338
division_Allahabad,-0.5529306328114133,1.9837141339869488,1.9837141339869488
division_Solapur,-0.6845260734012849,2.334952271562525,2.334952271562525
division_Vadodara,-0.8240922083338583,2.77565315510122,2.77565315510122
defect_count_prev_month,-1.3481198113875494,5.312443542935658,5.312443542935658
