segment_id,division,asset_type,risk_30d,expected_downtime_days,preventive_block_duration_hrs,overrun_probability,confidence,cold_start_fallback,forecast_as_of
SEG-001,Delhi,Track,0.006462,0.042,5.65,0.0164,medium,False,2025-11-21
SEG-002,Delhi,Traction/OHE,0.007725,0.062,5.55,0.1732,medium,False,2025-11-21
SEG-003,Delhi,Track,0.000761,0.007,6.11,0.138,low,True,2025-11-21
SEG-004,Delhi,S&T,0.002077,0.022,7.29,0.8701,medium,False,2025-11-21
SEG-005,Delhi,Track,0.006733,0.056,7.51,0.2016,medium,False,2025-11-21
SEG-006,Jaipur,S&T,0.003584,0.012,4.95,0.0369,medium,False,2025-11-21
SEG-007,Jaipur,Traction/OHE,0.059233,0.459,5.55,0.0092,low,True,2025-11-21
SEG-008,Jaipur,S&T,0.002689,0.038,4.28,0.0337,medium,False,2025-11-21
SEG-009,Jaipur,S&T,0.004642,0.034,3.39,0.0376,medium,False,2025-11-21
SEG-010,Kota,S&T,0.000384,0.003,7.25,0.1116,medium,False,2025-11-21
SEG-011,Kota,S&T,0.000505,0.007,8.04,0.492,medium,False,2025-11-21
SEG-012,Kota,Traction/OHE,0.00203,0.02,3.97,0.0223,medium,False,2025-11-21
SEG-013,Kota,Track,0.001913,0.01,3.2,0.0369,medium,False,2025-11-21
SEG-014,Ratlam,Traction/OHE,0.070237,0.281,4.39,0.0161,low,True,2025-11-21
SEG-015,Ratlam,Track,0.003101,0.025,4.14,0.0307,medium,False,2025-11-21
SEG-016,Ratlam,Traction/OHE,0.004285,0.028,3.29,0.3217,medium,False,2025-11-21
SEG-017,Ratlam,Traction/OHE,0.005408,0.034,7.96,0.0285,medium,False,2025-11-21
SEG-018,Vadodara,Traction/OHE,0.070237,0.509,6.0,0.2,low,True,2025-11-21
SEG-019,Vadodara,S&T,0.004876,0.059,4.46,0.044,medium,False,2025-11-21
SEG-020,Vadodara,Track,0.017438,0.017,7.25,0.0472,medium,False,2025-11-21
SEG-021,Vadodara,Track,0.01713,0.15,3.9,0.0165,medium,False,2025-11-21
SEG-022,Mumbai,Traction/OHE,0.014137,0.094,6.81,0.0553,medium,False,2025-11-21
SEG-023,Mumbai,S&T,0.004006,0.031,3.63,0.0863,medium,False,2025-11-21
SEG-024,Mumbai,Traction/OHE,0.012932,0.078,5.04,0.0196,medium,False,2025-11-21
SEG-025,Mumbai,Traction/OHE,0.012661,0.148,6.0,0.2,medium,False,2025-11-21
SEG-026,Delhi,Track,0.005409,0.049,5.22,0.8926,medium,False,2025-11-21
SEG-027,Delhi,S&T,0.001861,0.022,5.66,0.4928,medium,False,2025-11-21
SEG-028,Delhi,Track,0.006341,0.038,2.29,0.0333,medium,False,2025-11-21
SEG-029,Delhi,Traction/OHE,0.007888,0.063,6.0,0.2,medium,False,2025-11-21
SEG-030,Delhi,S&T,0.001921,0.006,3.32,0.7227,medium,False,2025-11-21
SEG-031,Allahabad,Traction/OHE,0.021021,0.177,3.94,0.0644,medium,False,2025-11-21
SEG-032,Allahabad,Traction/OHE,0.014755,0.162,5.81,0.0066,medium,False,2025-11-21
SEG-033,Allahabad,Traction/OHE,0.016238,0.043,2.34,0.0667,low,True,2025-11-21
SEG-034,Allahabad,Track,0.024158,0.181,4.66,0.0249,low,True,2025-11-21
SEG-035,Allahabad,Track,0.000761,0.01,4.5,0.0348,low,True,2025-11-21
SEG-036,Mughal Sarai,Traction/OHE,0.003667,0.029,2.58,0.085,medium,False,2025-11-21
SEG-037,Mughal Sarai,Track,0.00421,0.046,3.21,0.0096,medium,False,2025-11-21
SEG-038,Mughal Sarai,Track,0.004957,0.03,3.16,0.0356,medium,False,2025-11-21
SEG-039,Mughal Sarai,Track,0.004189,0.053,5.15,0.1165,medium,False,2025-11-21
SEG-040,Mughal Sarai,Track,0.000761,0.004,3.65,0.0162,low,True,2025-11-21
SEG-041,Dhanbad,Traction/OHE,0.004727,0.019,6.04,0.03,medium,False,2025-11-21
SEG-042,Dhanbad,Track,0.00593,0.046,4.18,0.0082,medium,False,2025-11-21
SEG-043,Dhanbad,S&T,0.001069,0.005,3.43,0.0395,medium,False,2025-11-21
SEG-044,Dhanbad,S&T,7e-06,0.0,3.47,0.1449,low,True,2025-11-21
SEG-045,Dhanbad,Traction/OHE,0.009116,0.078,4.08,0.0084,medium,False,2025-11-21
SEG-046,Howrah,Traction/OHE,0.00499,0.045,7.04,0.017,medium,False,2025-11-21
SEG-047,Howrah,Traction/OHE,0.004515,0.029,3.89,0.0059,medium,False,2025-11-21
SEG-048,Howrah,Traction/OHE,0.003794,0.004,5.86,0.0117,medium,False,2025-11-21
SEG-049,Howrah,Traction/OHE,0.059233,0.607,6.49,0.8542,low,True,2025-11-21
SEG-050,Howrah,Traction/OHE,0.003446,0.028,2.46,0.0717,medium,False,2025-11-21
SEG-051,Chennai,S&T,2e-06,0.0,2.28,0.1076,low,True,2025-11-21
SEG-052,Chennai,Track,0.003412,0.027,2.3,0.0759,medium,False,2025-11-21
SEG-053,Chennai,Track,0.007963,0.066,3.24,0.1659,medium,False,2025-11-21
SEG-054,Chennai,Track,0.003811,0.03,2.27,0.1421,medium,False,2025-11-21
SEG-055,Chennai,Traction/OHE,0.010792,0.082,6.38,0.0092,medium,False,2025-11-21
SEG-056,Renigunta,Traction/OHE,0.005922,0.083,7.21,0.0285,medium,False,2025-11-21
SEG-057,Renigunta,Track,0.004192,0.017,4.03,0.8759,medium,False,2025-11-21
SEG-058,Renigunta,Track,0.004468,0.031,4.07,0.0162,medium,False,2025-11-21
SEG-059,Renigunta,S&T,0.001263,0.01,2.83,0.1425,medium,False,2025-11-21
SEG-060,Guntakal,Track,0.008709,0.07,4.27,0.8734,medium,False,2025-11-21
SEG-061,Guntakal,Traction/OHE,0.012015,0.111,6.29,0.0505,medium,False,2025-11-21
SEG-062,Guntakal,Track,0.000761,0.008,8.52,0.9234,low,True,2025-11-21
SEG-063,Guntakal,Track,0.008752,0.066,6.0,0.2,medium,False,2025-11-21
SEG-064,Solapur,Track,0.016343,0.147,5.63,0.0215,medium,False,2025-11-21
SEG-065,Solapur,Traction/OHE,0.021485,0.193,3.42,0.0231,medium,False,2025-11-21
SEG-066,Solapur,Track,0.017763,0.2,7.96,0.118,medium,False,2025-11-21
SEG-067,Solapur,S&T,2.9e-05,0.0,6.72,0.0312,low,True,2025-11-21
SEG-068,Pune,Track,0.006685,0.05,2.33,0.0345,medium,False,2025-11-21
SEG-069,Pune,S&T,0.002232,0.012,6.5,0.0342,medium,False,2025-11-21
SEG-070,Pune,S&T,0.002049,0.008,6.82,0.0905,medium,False,2025-11-21
SEG-071,Pune,Traction/OHE,0.008061,0.064,2.16,0.1838,medium,False,2025-11-21
SEG-072,Mumbai,Traction/OHE,0.010382,0.062,7.5,0.0621,medium,False,2025-11-21
SEG-073,Mumbai,S&T,0.003776,0.033,6.53,0.0761,medium,False,2025-11-21
SEG-074,Mumbai,Track,0.012136,0.115,6.0,0.2,medium,False,2025-11-21
SEG-075,Mumbai,Traction/OHE,0.014889,0.139,4.03,0.0426,medium,False,2025-11-21
