segment_id,forecast_day,survival_probability,cumulative_failure_probability
SEG-001,1,0.999785,0.000215
SEG-001,2,0.99957,0.00043
SEG-001,3,0.999355,0.000645
SEG-001,4,0.99914,0.00086
SEG-001,5,0.998925,0.001075
SEG-001,6,0.99871,0.00129
SEG-001,7,0.998494,0.001506
SEG-001,8,0.998279,0.001721
SEG-001,9,0.998064,0.001936
SEG-001,10,0.997849,0.002151
SEG-001,11,0.997633,0.002367
SEG-001,12,0.997418,0.002582
SEG-001,13,0.997203,0.002797
SEG-001,14,0.996987,0.003013
SEG-001,15,0.996772,0.003228
SEG-001,16,0.996557,0.003443
SEG-001,17,0.996341,0.003659
SEG-001,18,0.996126,0.003874
SEG-001,19,0.99591,0.00409
SEG-001,20,0.995695,0.004305
SEG-001,21,0.995479,0.004521
SEG-001,22,0.995264,0.004736
SEG-001,23,0.995048,0.004952
SEG-001,24,0.994832,0.005168
SEG-001,25,0.994617,0.005383
SEG-001,26,0.994401,0.005599
SEG-001,27,0.994185,0.005815
SEG-001,28,0.99397,0.00603
SEG-001,29,0.993754,0.006246
SEG-001,30,0.993538,0.006462
SEG-002,1,0.999743,0.000257
SEG-002,2,0.999486,0.000514
SEG-002,3,0.999228,0.000772
SEG-002,4,0.998971,0.001029
SEG-002,5,0.998714,0.001286
SEG-002,6,0.998457,0.001543
SEG-002,7,0.998199,0.001801
SEG-002,8,0.997942,0.002058
SEG-002,9,0.997685,0.002315
SEG-002,10,0.997427,0.002573
SEG-002,11,0.99717,0.00283
SEG-002,12,0.996912,0.003088
SEG-002,13,0.996655,0.003345
SEG-002,14,0.996398,0.003602
SEG-002,15,0.99614,0.00386
SEG-002,16,0.995883,0.004117
SEG-002,17,0.995625,0.004375
SEG-002,18,0.995367,0.004633
SEG-002,19,0.99511,0.00489
SEG-002,20,0.994852,0.005148
SEG-002,21,0.994595,0.005405
SEG-002,22,0.994337,0.005663
SEG-002,23,0.994079,0.005921
SEG-002,24,0.993822,0.006178
SEG-002,25,0.993564,0.006436
SEG-002,26,0.993306,0.006694
SEG-002,27,0.993049,0.006951
SEG-002,28,0.992791,0.007209
SEG-002,29,0.992533,0.007467
SEG-002,30,0.992275,0.007725
SEG-003,1,0.999826,0.000174
SEG-003,2,0.999652,0.000348
SEG-003,3,0.999479,0.000521
SEG-003,4,0.999305,0.000695
SEG-003,5,0.999131,0.000869
SEG-003,6,0.998957,0.001043
SEG-003,7,0.998783,0.001217
SEG-003,8,0.998609,0.001391
SEG-003,9,0.998435,0.001565
SEG-003,10,0.998261,0.001739
SEG-003,11,0.998087,0.001913
SEG-003,12,0.997913,0.002087
SEG-003,13,0.997739,0.002261
SEG-003,14,0.997564,0.002436
SEG-003,15,0.99739,0.00261
SEG-003,16,0.997216,0.002784
SEG-003,17,0.997042,0.002958
SEG-003,18,0.996867,0.003133
SEG-003,19,0.996693,0.003307
SEG-003,20,0.996519,0.003481
SEG-003,21,0.996345,0.003655
SEG-003,22,0.99617,0.00383
SEG-003,23,0.995996,0.004004
