segment_id,predicted_failure_30d,actual_failure_30d,prediction_bin
SEG-003,0.0045942664,0,"(0.000794, 0.00459]"
SEG-028,0.0022381544,0,"(0.000794, 0.00459]"
SEG-038,0.0019632578,0,"(0.000794, 0.00459]"
SEG-039,0.001313448,0,"(0.000794, 0.00459]"
SEG-018,0.0013098717,0,"(0.000794, 0.00459]"
SEG-012,0.0012045503,0,"(0.000794, 0.00459]"
SEG-030,0.0011956096,0,"(0.000794, 0.00459]"
SEG-002,0.0010403991,0,"(0.000794, 0.00459]"
SEG-034,0.0009869337,0,"(0.000794, 0.00459]"
SEG-033,0.0008261204,0,"(0.000794, 0.00459]"
SEG-029,0.0007456541,0,"(0.000594, 0.000794]"
SEG-009,0.0007456541,0,"(0.000594, 0.000794]"
SEG-020,0.00071525574,0,"(0.000594, 0.000794]"
SEG-031,0.0006777048,0,"(0.000594, 0.000794]"
SEG-001,0.0006508827,0,"(0.000594, 0.000794]"
SEG-043,0.0006508827,0,"(0.000594, 0.000794]"
SEG-007,0.00062584877,0,"(0.000594, 0.000794]"
SEG-017,0.00062584877,0,"(0.000594, 0.000794]"
SEG-035,0.0006079674,0,"(0.000594, 0.000794]"
SEG-046,0.000590086,0,"(0.000333, 0.000594]"
