task_id,segment_id,department,min_duration_hrs,preferred_window,claimed_criticality,defect_count,avg_severity,max_severity,failure_probability_30d,risk_score,risk_normalized,evidence_score,claim_ratio,inflated_claim,claim_status,claimed_priority,auction_score,priority_score,auction_rank,segment_group,normalized_window
TASK-00513,SEG-043,Engineering,1.85,07:00-11:00,5,2.0,0.0,0.0,0.2911532,29.115318,0.29115318,0.174691914,1.0,True,INFLATED,1.0,0.23152289295,23.15,128,0,07:00-11:00
TASK-00515,SEG-043,Engineering,2.39,07:00-11:00,5,2.0,0.0,0.0,0.2911532,29.115318,0.29115318,0.174691914,1.0,True,INFLATED,1.0,0.23152289295,23.15,130,0,07:00-11:00
TASK-00517,SEG-043,Engineering,5.62,07:00-11:00,5,2.0,0.0,0.0,0.2911532,29.115318,0.29115318,0.174691914,1.0,True,INFLATED,1.0,0.23152289295,23.15,131,0,07:00-11:00
TASK-00511,SEG-043,Engineering,7.35,07:00-11:00,5,2.0,0.0,0.0,0.2911532,29.115318,0.29115318,0.174691914,1.0,True,INFLATED,1.0,0.23152289295,23.15,127,0,07:00-11:00
TASK-00514,SEG-043,Engineering,4.75,07:00-11:00,5,2.0,0.0,0.0,0.2911532,29.115318,0.29115318,0.174691914,1.0,True,INFLATED,1.0,0.23152289295,23.15,129,0,07:00-11:00
TASK-00166,SEG-014,Engineering,4.8,07:00-11:00,5,1.0,0.0,0.0,0.0062129498,0.621295,0.00621295,0.00372776994,1.0,True,INFLATED,1.0,0.1517396259745,15.17,247,0,07:00-11:00
TASK-00161,SEG-014,Engineering,4.81,07:00-11:00,5,1.0,0.0,0.0,0.0062129498,0.621295,0.00621295,0.00372776994,1.0,True,INFLATED,1.0,0.1517396259745,15.17,246,0,07:00-11:00
TASK-00337,SEG-028,S&T,3.14,07:00-11:00,5,0.0,0.0,0.0,0.004336059,0.4336059,0.004336059,0.0026016354,1.0,True,INFLATED,1.0,0.15121409651999998,15.12,250,0,07:00-11:00
TASK-00340,SEG-028,S&T,3.58,07:00-11:00,5,0.0,0.0,0.0,0.004336059,0.4336059,0.004336059,0.0026016354,1.0,True,INFLATED,1.0,0.15121409651999998,15.12,251,0,07:00-11:00
TASK-00336,SEG-028,S&T,2.45,07:00-11:00,5,0.0,0.0,0.0,0.004336059,0.4336059,0.004336059,0.0026016354,1.0,True,INFLATED,1.0,0.15121409651999998,15.12,249,0,07:00-11:00
TASK-00334,SEG-028,S&T,1.58,07:00-11:00,5,0.0,0.0,0.0,0.004336059,0.4336059,0.004336059,0.0026016354,1.0,True,INFLATED,1.0,0.15121409651999998,15.12,248,0,07:00-11:00
TASK-00232,SEG-020,Engineering,3.09,07:00-11:00,5,1.0,0.0,0.0,0.004031539,0.4031539,0.004031539,0.0024189233999999996,1.0,True,INFLATED,1.0,0.15112883092,15.11,252,0,07:00-11:00
TASK-00141,SEG-012,Electrical,5.12,07:00-11:00,5,0.0,0.0,0.0,0.0026769638,0.26769638,0.0026769638,0.00160617828,1.0,True,INFLATED,1.0,0.150749549864,15.07,253,0,07:00-11:00
TASK-00145,SEG-012,Electrical,6.99,07:00-11:00,5,0.0,0.0,0.0,0.0026769638,0.26769638,0.0026769638,0.00160617828,1.0,True,INFLATED,1.0,0.150749549864,15.07,254,0,07:00-11:00
TASK-00146,SEG-012,Electrical,7.54,07:00-11:00,5,0.0,0.0,0.0,0.0026769638,0.26769638,0.0026769638,0.00160617828,1.0,True,INFLATED,1.0,0.150749549864,15.07,255,0,07:00-11:00
TASK-00149,SEG-012,Electrical,4.45,07:00-11:00,5,0.0,0.0,0.0,0.0026769638,0.26769638,0.0026769638,0.00160617828,1.0,True,INFLATED,1.0,0.150749549864,15.07,256,0,07:00-11:00
TASK-00208,SEG-018,Electrical,3.63,07:00-11:00,5,0.0,0.0,0.0,0.0021221638,0.21221638,0.0021221638,0.00127329828,1.0,True,INFLATED,1.0,0.15059420586399996,15.06,257,0,07:00-11:00
TASK-00364,SEG-030,Electrical,2.27,07:00-11:00,5,0.0,0.0,0.0,0.0018312335,0.18312335,0.0018312335,0.0010987401,1.0,True,INFLATED,1.0,0.15051274538,15.05,263,0,07:00-11:00
TASK-00362,SEG-030,Electrical,4.05,07:00-11:00,5,0.0,0.0,0.0,0.0018312335,0.18312335,0.0018312335,0.0010987401,1.0,True,INFLATED,1.0,0.15051274538,15.05,262,0,07:00-11:00
TASK-00361,SEG-030,Electrical,3.21,07:00-11:00,5,0.0,0.0,0.0,0.0018312335,0.18312335,0.0018312335,0.0010987401,1.0,True,INFLATED,1.0,0.15051274538,15.05,261,0,07:00-11:00
TASK-00404,SEG-034,S&T,3.36,07:00-11:00,5,0.0,0.0,0.0,0.0017865896,0.17865896,0.0017865896,0.00107195376,1.0,True,INFLATED,1.0,0.15050024508799997,15.05,265,0,07:00-11:00
TASK-00409,SEG-034,S&T,1.58,07:00-11:00,5,0.0,0.0,0.0,0.0017865896,0.17865896,0.0017865896,0.00107195376,1.0,True,INFLATED,1.0,0.15050024508799997,15.05,266,0,07:00-11:00
TASK-00358,SEG-030,Electrical,5.66,07:00-11:00,5,0.0,0.0,0.0,0.0018312335,0.18312335,0.0018312335,0.0010987401,1.0,True,INFLATED,1.0,0.15051274538,15.05,260,0,07:00-11:00
TASK-00356,SEG-030,Electrical,6.7,07:00-11:00,5,0.0,0.0,0.0,0.0018312335,0.18312335,0.0018312335,0.0010987401,1.0,True,INFLATED,1.0,0.15051274538,15.05,259,0,07:00-11:00
TASK-00355,SEG-030,Electrical,1.79,07:00-11:00,5,0.0,0.0,0.0,0.0018312335,0.18312335,0.0018312335,0.0010987401,1.0,True,INFLATED,1.0,0.15051274538,15.05,258,0,07:00-11:00
TASK-00401,SEG-034,S&T,7.57,07:00-11:00,5,0.0,0.0,0.0,0.0017865896,0.17865896,0.0017865896,0.00107195376,1.0,True,INFLATED,1.0,0.15050024508799997,15.05,264,0,07:00-11:00
TASK-00389,SEG-033,S&T,5.82,07:00-11:00,5,0.0,0.0,0.0,0.0013402104,0.13402104,0.0013402104,0.00080412624,1.0,True,INFLATED,1.0,0.150375258912,15.04,267,0,07:00-11:00
TASK-00396,SEG-033,S&T,2.06,07:00-11:00,5,0.0,0.0,0.0,0.0013402104,0.13402104,0.0013402104,0.00080412624,1.0,True,INFLATED,1.0,0.150375258912,15.04,268,0,07:00-11:00
TASK-00417,SEG-035,Electrical,3.92,07:00-11:00,5,0.0,0.0,0.0,0.0009829998,0.09829998,0.0009829997999999999,0.00058979988,1.0,True,INFLATED,1.0,0.150275239944,15.03,279,0,07:00-11:00
TASK-00551,SEG-046,S&T,4.39,07:00-11:00,5,0.0,0.0,0.0,0.0009598136,0.09598136,0.0009598136,0.00057588816,1.0,True,INFLATED,1.0,0.15026874780799998,15.03,281,0,07:00-11:00
TASK-00555,SEG-046,S&T,6.99,07:00-11:00,5,0.0,0.0,0.0,0.0009598136,0.09598136,0.0009598136,0.00057588816,1.0,True,INFLATED,1.0,0.15026874780799998,15.03,283,0,07:00-11:00
TASK-00553,SEG-046,S&T,5.07,07:00-11:00,5,0.0,0.0,0.0,0.0009598136,0.09598136,0.0009598136,0.00057588816,1.0,True,INFLATED,1.0,0.15026874780799998,15.03,282,0,07:00-11:00
TASK-00081,SEG-007,Engineering,4.37,07:00-11:00,5,2.0,0.0,0.0,0.00095802546,0.095802546,0.00095802546,0.000574815276,1.0,True,INFLATED,1.0,0.1502682471288,15.03,269,0,07:00-11:00
TASK-00200,SEG-017,Electrical,1.79,07:00-11:00,5,0.0,0.0,0.0,0.00095802546,0.095802546,0.00095802546,0.000574815276,1.0,True,INFLATED,1.0,0.1502682471288,15.03,273,0,07:00-11:00
TASK-00103,SEG-009,S&T,7.36,07:00-11:00,5,1.0,0.0,0.0,0.0011402369,0.114023685,0.00114023685,0.0006841421249999999,1.0,True,INFLATED,1.0,0.15031926632437498,15.03,272,0,07:00-11:00
TASK-00345,SEG-029,Electrical,4.75,07:00-11:00,5,0.0,0.0,0.0,0.0011402369,0.114023685,0.00114023685,0.0006841421249999999,1.0,True,INFLATED,1.0,0.15031926632437498,15.03,275,0,07:00-11:00
TASK-00348,SEG-029,Electrical,6.5,07:00-11:00,5,0.0,0.0,0.0,0.0011402369,0.114023685,0.00114023685,0.0006841421249999999,1.0,True,INFLATED,1.0,0.15031926632437498,15.03,277,0,07:00-11:00
TASK-00084,SEG-007,Engineering,7.66,07:00-11:00,5,2.0,0.0,0.0,0.00095802546,0.095802546,0.00095802546,0.000574815276,1.0,True,INFLATED,1.0,0.1502682471288,15.03,270,0,07:00-11:00
TASK-00545,SEG-046,S&T,6.08,07:00-11:00,5,0.0,0.0,0.0,0.0009598136,0.09598136,0.0009598136,0.00057588816,1.0,True,INFLATED,1.0,0.15026874780799998,15.03,280,0,07:00-11:00
TASK-00202,SEG-017,Electrical,3.41,07:00-11:00,5,0.0,0.0,0.0,0.00095802546,0.095802546,0.00095802546,0.000574815276,1.0,True,INFLATED,1.0,0.1502682471288,15.03,274,0,07:00-11:00
TASK-00101,SEG-009,S&T,2.64,07:00-11:00,5,1.0,0.0,0.0,0.0011402369,0.114023685,0.00114023685,0.0006841421249999999,1.0,True,INFLATED,1.0,0.15031926632437498,15.03,271,0,07:00-11:00
TASK-00375,SEG-031,Engineering,5.61,07:00-11:00,5,1.0,0.0,0.0,0.0010365844,0.10365844,0.0010365844,0.00062195064,1.0,True,INFLATED,1.0,0.150290243632,15.03,278,0,07:00-11:00
