task_id,segment_id,department,min_duration_hrs,preferred_window,claimed_criticality,defect_count,avg_severity,max_severity,failure_probability_30d,risk_score,risk_normalized,evidence_score,claim_ratio,inflated_claim,claim_status,claimed_priority,auction_score,priority_score,auction_rank,segment_group,normalized_window
TASK-00466,SEG-039,S&T,3.72,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,14,0,07:00-11:00
TASK-00459,SEG-039,S&T,5.42,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,13,0,07:00-11:00
TASK-00019,SEG-002,Engineering,4.37,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,9,0,07:00-11:00
TASK-00014,SEG-002,Engineering,7.35,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,4,0,07:00-11:00
TASK-00017,SEG-002,Engineering,4.23,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,7,0,07:00-11:00
TASK-00016,SEG-002,Engineering,4.8,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,6,0,07:00-11:00
TASK-00015,SEG-002,Engineering,4.3,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,5,0,07:00-11:00
TASK-00022,SEG-002,Engineering,4.19,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,12,0,07:00-11:00
TASK-00021,SEG-002,Engineering,3.52,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,11,0,07:00-11:00
TASK-00020,SEG-002,Engineering,2.05,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,10,0,07:00-11:00
TASK-00012,SEG-002,Engineering,7.2,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,2,0,07:00-11:00
TASK-00018,SEG-002,Engineering,5.06,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,8,0,07:00-11:00
TASK-00013,SEG-002,Engineering,5.38,07:00-11:00,5,1.0,0.0,0.0,1.0,100.0,1.0,0.6,1.0,False,SUPPORTED,1.0,0.86,86.0,3,0,07:00-11:00
