segment_id,division,asset_type,risk_30d,expected_downtime_days,preventive_block_duration_hrs,confidence,cold_start_fallback,overrun_probability,forecast_as_of
SEG-001,Delhi,Track,0.006462,0.042,5.65,medium,False,0.0164,2025-11-21
SEG-002,Delhi,Traction/OHE,0.007725,0.062,5.55,medium,False,0.1732,2025-11-21
SEG-003,Delhi,Track,0.005226,0.047,6.11,medium,False,0.138,2025-11-21
SEG-004,Delhi,S&T,0.002077,0.022,7.29,medium,False,0.8701,2025-11-21
SEG-005,Delhi,Track,0.006733,0.056,7.51,medium,False,0.2016,2025-11-21
SEG-006,Jaipur,S&T,0.003584,0.012,4.95,medium,False,0.0369,2025-11-21
SEG-007,Jaipur,Traction/OHE,0.015685,0.122,5.55,medium,False,0.0092,2025-11-21
SEG-008,Jaipur,S&T,0.002689,0.038,4.28,medium,False,0.0337,2025-11-21
SEG-009,Jaipur,S&T,0.004642,0.034,3.39,medium,False,0.0376,2025-11-21
SEG-010,Kota,S&T,0.000384,0.003,7.25,medium,False,0.1116,2025-11-21
SEG-011,Kota,S&T,0.000505,0.007,8.04,medium,False,0.492,2025-11-21
SEG-012,Kota,Traction/OHE,0.00203,0.02,3.97,medium,False,0.0223,2025-11-21
SEG-013,Kota,Track,0.001913,0.01,3.2,medium,False,0.0369,2025-11-21
SEG-014,Ratlam,Traction/OHE,0.006328,0.025,4.39,medium,False,0.0161,2025-11-21
SEG-015,Ratlam,Track,0.003101,0.025,4.14,medium,False,0.0307,2025-11-21
SEG-016,Ratlam,Traction/OHE,0.004285,0.028,3.29,medium,False,0.3217,2025-11-21
SEG-017,Ratlam,Traction/OHE,0.005408,0.034,7.96,medium,False,0.0285,2025-11-21
SEG-018,Vadodara,Traction/OHE,0.070237,0.509,6.0,low,True,0.2,2025-11-21
SEG-019,Vadodara,S&T,0.004876,0.059,4.46,medium,False,0.044,2025-11-21
SEG-020,Vadodara,Track,0.017438,0.017,7.25,medium,False,0.0472,2025-11-21
SEG-021,Vadodara,Track,0.01713,0.15,3.9,medium,False,0.0165,2025-11-21
SEG-022,Mumbai,Traction/OHE,0.014137,0.094,6.81,medium,False,0.0553,2025-11-21
SEG-023,Mumbai,S&T,0.004006,0.031,3.63,medium,False,0.0863,2025-11-21
SEG-024,Mumbai,Traction/OHE,0.012932,0.078,5.04,medium,False,0.0196,2025-11-21
SEG-025,Mumbai,Traction/OHE,0.012661,0.148,6.0,medium,False,0.2,2025-11-21
SEG-026,Delhi,Track,0.005409,0.049,5.22,medium,False,0.8926,2025-11-21
SEG-027,Delhi,S&T,0.001861,0.022,5.66,medium,False,0.4928,2025-11-21
SEG-028,Delhi,Track,0.006341,0.038,2.29,medium,False,0.0333,2025-11-21
SEG-029,Delhi,Traction/OHE,0.007888,0.063,6.0,medium,False,0.2,2025-11-21
SEG-030,Delhi,S&T,0.001921,0.006,3.32,medium,False,0.7227,2025-11-21
SEG-031,Allahabad,Traction/OHE,0.021021,0.177,3.94,medium,False,0.0644,2025-11-21
SEG-032,Allahabad,Traction/OHE,0.014755,0.162,5.81,medium,False,0.0066,2025-11-21
SEG-033,Allahabad,Traction/OHE,0.017913,0.048,2.34,medium,False,0.0667,2025-11-21
SEG-034,Allahabad,Track,0.013226,0.099,4.66,medium,False,0.0249,2025-11-21
SEG-035,Allahabad,Track,0.0112,0.14,4.5,medium,False,0.0348,2025-11-21
SEG-036,Mughal Sarai,Traction/OHE,0.003667,0.029,2.58,medium,False,0.085,2025-11-21
SEG-037,Mughal Sarai,Track,0.00421,0.046,3.21,medium,False,0.0096,2025-11-21
