segment_id,forecast_as_of,day,date,survival_probability,failure_probability_by_day
SEG-001,2025-11-21,1,2025-11-22,0.999785,0.000215
SEG-001,2025-11-21,2,2025-11-23,0.99956996,0.00043004
SEG-001,2025-11-21,3,2025-11-24,0.9993549,0.0006451
SEG-001,2025-11-21,4,2025-11-25,0.99913981,0.00086019
SEG-001,2025-11-21,5,2025-11-26,0.9989247,0.0010753
SEG-001,2025-11-21,6,2025-11-27,0.99870955,0.00129045
SEG-001,2025-11-21,7,2025-11-28,0.99849438,0.00150562
SEG-001,2025-11-21,8,2025-11-29,0.99827918,0.00172082
SEG-001,2025-11-21,9,2025-11-30,0.99806396,0.00193604
SEG-001,2025-11-21,10,2025-12-01,0.99784871,0.00215129
SEG-001,2025-11-21,11,2025-12-02,0.99763343,0.00236657
SEG-001,2025-11-21,12,2025-12-03,0.99741812,0.00258188
SEG-001,2025-11-21,13,2025-12-04,0.99720279,0.00279721
SEG-001,2025-11-21,14,2025-12-05,0.99698743,0.00301257
SEG-001,2025-11-21,15,2025-12-06,0.99677204,0.00322796
SEG-001,2025-11-21,16,2025-12-07,0.99655663,0.00344337
SEG-001,2025-11-21,17,2025-12-08,0.99634119,0.00365881
SEG-001,2025-11-21,18,2025-12-09,0.99612572,0.00387428
SEG-001,2025-11-21,19,2025-12-10,0.99591023,0.00408977
SEG-001,2025-11-21,20,2025-12-11,0.99569471,0.00430529
SEG-001,2025-11-21,21,2025-12-12,0.99547917,0.00452083
SEG-001,2025-11-21,22,2025-12-13,0.9952636,0.0047364
SEG-001,2025-11-21,23,2025-12-14,0.995048,0.004952
SEG-001,2025-11-21,24,2025-12-15,0.99483238,0.00516762
SEG-001,2025-11-21,25,2025-12-16,0.99461674,0.00538326
SEG-001,2025-11-21,26,2025-12-17,0.99440107,0.00559893
SEG-001,2025-11-21,27,2025-12-18,0.99418537,0.00581463
SEG-001,2025-11-21,28,2025-12-19,0.99396965,0.00603035
SEG-001,2025-11-21,29,2025-12-20,0.9937539,0.0062461
SEG-001,2025-11-21,30,2025-12-21,0.99353813,0.00646187
SEG-002,2025-11-21,1,2025-11-22,0.99974282,0.00025718
SEG-002,2025-11-21,2,2025-11-23,0.99948563,0.00051437
SEG-002,2025-11-21,3,2025-11-24,0.9992284,0.0007716
SEG-002,2025-11-21,4,2025-11-25,0.99897116,0.00102884
SEG-002,2025-11-21,5,2025-11-26,0.9987139,0.0012861
SEG-002,2025-11-21,6,2025-11-27,0.99845661,0.00154339
SEG-002,2025-11-21,7,2025-11-28,0.9981993,0.0018007
SEG-002,2025-11-21,8,2025-11-29,0.99794197,0.00205803
SEG-002,2025-11-21,9,2025-11-30,0.99768461,0.00231539
SEG-002,2025-11-21,10,2025-12-01,0.99742724,0.00257276
SEG-002,2025-11-21,11,2025-12-02,0.99716984,0.00283016
SEG-002,2025-11-21,12,2025-12-03,0.99691242,0.00308758
SEG-002,2025-11-21,13,2025-12-04,0.99665499,0.00334501
